"","logFC","logCPM","PValue","FDR"
"Solyc03g005480.2.1",1.76176682124642,0.77687164024524,0.000305899009061456,0.00157912447499524
"Solyc06g054150.1.1",1.76122416274335,2.59238968217174,2.18352009226587e-05,0.00016216294735083
"Solyc12g005150.1.1",1.76121438808408,4.61676237412401,2.07464423724317e-09,3.88534900579385e-08
"Solyc07g022840.1.1",1.76069871861135,3.17524312747768,2.00870850670361e-06,1.96259718280611e-05
"Solyc11g068560.1.1",1.76061749940396,0.776375531355935,0.000130329119495489,0.000757699019347696
"Solyc12g098400.1.1",1.76060336639969,3.95892744548409,9.87038098608321e-07,1.0468627378721e-05
"Solyc07g016050.2.1",1.76028873549447,-0.732319779756049,0.00153107595797743,0.00623547196022727
"Solyc07g041730.2.1",1.75962411660002,2.32055891410549,3.29771669490717e-06,3.03218111013489e-05
"Solyc02g067150.2.1",1.75910839175936,7.54048163892393,2.46369101388574e-06,2.34910787820253e-05
"Solyc01g096340.2.1",1.75852438511196,5.28939537278408,4.51574753122532e-09,7.96277971666719e-08
"Solyc10g084010.1.1",1.7574628023308,0.438206661395648,0.00104792858360854,0.00452229677136259
"Solyc11g071620.1.1",1.75743430708062,6.41816267426342,0.000840945697799671,0.00377832652824564
"Solyc07g056480.2.1",1.75642489635233,6.00440746178178,1.4171242827524e-09,2.7223228867768e-08
"Solyc06g084180.2.1",1.75609241285603,10.4041788304656,0.000191292788798833,0.00105219977698375
"Solyc10g079640.1.1",1.75576708961924,4.32304120836984,2.02906471374836e-06,1.97828114385628e-05
"Solyc01g094970.2.1",1.75512081239008,4.22531238615413,3.41012872167768e-07,4.05345922300558e-06
"Solyc02g037550.2.1",1.75477357175582,3.85670903282069,7.90839834577495e-05,0.00049475474897852
"Solyc00g006470.1.1",1.75460928993996,1.16489468738174,0.00133741578096337,0.00557240381966595
"Solyc12g099230.1.1",1.75452192033413,5.54183599410731,7.07638686942737e-07,7.80477842170833e-06
"Solyc03g113990.2.1",1.75424118418199,3.8665310727223,3.30625356912228e-07,3.94224340588535e-06
"Solyc06g053150.1.1",1.75403301865524,4.03360923696895,3.32500462200036e-07,3.9604844773266e-06
"Solyc02g005340.2.1",1.75387596619494,6.61569927882033,3.24812401046725e-07,3.87898037085525e-06
"Solyc01g091850.2.1",1.7537199556303,4.6059493650475,5.04361283737048e-06,4.41119032032467e-05
